Timestamp, Field, Value
2015-11-20T16:34:10.076Z, SI.5.initial_guess, "50"
2015-11-20T16:34:11.194Z, SI.5.initial_guess.timer, "24"
2015-11-20T16:34:15.468Z, SI.5.after_average, "150"
2015-11-20T16:34:16.214Z, SI.5.after_average.timer, "25"
2015-11-20T16:34:21.932Z, SI.6.initial_guess, "2000"
2015-11-20T16:34:23.234Z, SI.6.initial_guess.timer, "24"
2015-11-20T16:34:26.012Z, SI.6.after_average, "1500"
2015-11-20T16:34:26.242Z, SI.6.after_average.timer, "27"
2015-11-20T16:34:32.204Z, SI.7.initial_guess, "350"
2015-11-20T16:34:32.260Z, SI.7.initial_guess.timer, "26"
2015-11-20T16:34:35.251Z, SI.7.after_average, "500"
2015-11-20T16:34:35.265Z, SI.7.after_average.timer, "27"
2015-11-20T16:34:48.203Z, SI.8.initial_guess, "20000"
2015-11-20T16:34:50.303Z, SI.8.initial_guess.timer, "18"
2015-11-20T16:34:50.337Z, SI.Page, "23"
2015-11-20T16:34:53.059Z, SI.8.after_average, "25000"
2015-11-20T16:35:20.411Z, SI.8.after_average.timer, "0"
2015-11-20T16:35:23.921Z, MET.practise.A, "joyful"
2015-11-20T16:35:56.636Z, MET.practise.B, "8"
2015-11-20T16:36:21.048Z, MET.57.A, "joyful"
2015-11-20T16:36:29.823Z, MET.73.A, "amused"
2015-11-20T16:36:35.426Z, MET.31.A, "proud"
2015-11-20T16:36:39.059Z, MET.76.A, "pained"
2015-11-20T16:36:46.541Z, MET.79.A, "heartbroken"
2015-11-20T16:36:53.696Z, MET.36.A, "amused"
2015-11-20T16:36:56.441Z, MET.10.A, "grateful"
2015-11-20T16:37:00.592Z, MET.74.A, "nostalgic"
2015-11-20T16:37:04.338Z, MET.9.A, "satisfied"
2015-11-20T16:38:00.060Z, MET.37.A, "curious"
2015-11-20T16:38:10.275Z, MET.82.B, "7"
2015-11-20T16:38:13.437Z, MET.68.B, "5"
2015-11-20T16:38:16.508Z, MET.60.B, "8"
2015-11-20T16:38:20.816Z, MET.37.B, "7"
